Wall time,Step,Value
1734223558.6726139,10000,-4165.5
1734223625.3564024,20000,-4899.60009765625
1734223693.9490964,30000,-6242.75
1734223761.7565272,40000,-5912.27294921875
1734223830.4528556,50000,-5715.9228515625
1734223899.6813579,60000,-5749.0625
1734223968.5858057,70000,-6328.68408203125
1734224037.5368483,80000,-6451.63623046875
1734224104.9797344,90000,-6184.72021484375
1734224170.3802698,100000,-6000.70361328125
1734224240.2860346,110000,-5860.7333984375
1734224307.396109,120000,-5717.0908203125
1734224375.8022046,130000,-5609.888671875
1734224442.668795,140000,-5569.0263671875
1734224511.5650225,150000,-5471.09765625
1734224577.969419,160000,-5479.5908203125
1734224645.4419062,170000,-5529.25537109375
1734224713.222056,180000,-5579.85986328125
1734224780.7100594,190000,-5564.634765625
1734224848.7704217,200000,-5571.181640625
1734224915.1175528,210000,-5514.41357421875
1734224981.931435,220000,-5491.65576171875
1734225047.4161813,230000,-5517.888671875
1734225114.7732563,240000,-5449.57568359375
1734225182.3303623,250000,-5418.6376953125
1734225249.9384835,260000,-5410.16650390625
1734225317.7146163,270000,-5377.74658203125
1734225385.2358532,280000,-5355.98681640625
1734225452.6083853,290000,-5352.9375
1734225519.0249383,300000,-5406.37353515625
1734225587.5249572,310000,-5404.04638671875
1734225654.1130497,320000,-5362.88623046875
1734225724.9531658,330000,-5387.3076171875
1734225793.5764792,340000,-5411.4892578125
1734225863.872111,350000,-5394.10302734375
1734225933.7538636,360000,-5383.68017578125
1734226002.2227197,370000,-5389.35986328125
1734226070.1293218,380000,-5342.56005859375
1734226140.0348759,390000,-5258.240234375
1734226212.577341,400000,-5276.35009765625
1734226281.6280856,410000,-5277.5498046875
1734226349.140665,420000,-5230.64990234375
1734226418.2817252,430000,-5069.85986328125
1734226485.9232605,440000,-4973.6201171875
1734226553.624822,450000,-4994.75
1734226621.3555853,460000,-5055.080078125
1734226688.4862425,470000,-5050.66015625
1734226755.7784922,480000,-5029.22998046875
1734226824.984495,490000,-5028.06005859375
1734226893.591065,500000,-5029.18994140625
1734226963.0047736,510000,-5028.60009765625
1734227032.0557475,520000,-4991.259765625
1734227098.9384856,530000,-4957.72998046875
1734227165.866819,540000,-4879.35009765625
1734227234.650707,550000,-4849.490234375
1734227305.3750741,560000,-4832.85009765625
1734227376.1776474,570000,-4880.97998046875
1734227446.2057233,580000,-4853.18994140625
1734227519.6696534,590000,-4904.240234375
1734227588.3765879,600000,-4938.56982421875
1734227659.108877,610000,-4944.72021484375
1734227728.4174984,620000,-4938.93017578125
1734227797.653007,630000,-4945.56005859375
1734227864.4508834,640000,-4942.14990234375
1734227933.8865662,650000,-4927.5498046875
1734228002.9039388,660000,-4873.0498046875
1734228071.146315,670000,-4825.1298828125
1734228139.5925977,680000,-4837.22998046875
1734228206.6790385,690000,-4810.66015625
1734228277.601987,700000,-4777.490234375
1734228346.634431,710000,-4781.72021484375
1734228415.5375266,720000,-4776.81005859375
1734228482.9855957,730000,-4778.25
1734228551.4768484,740000,-4810.97998046875
1734228621.4205377,750000,-4811.22021484375
1734228694.018592,760000,-4898.669921875
1734228761.0883465,770000,-4886.14990234375
1734228829.57208,780000,-4879.60986328125
1734228898.434945,790000,-4902.56982421875
1734228967.8922505,800000,-4918.77001953125
1734229035.6329014,810000,-4905.759765625
1734229102.3878546,820000,-4846.330078125
1734229170.1775122,830000,-4840.81005859375
1734229237.831712,840000,-4856.919921875
1734229306.9635904,850000,-4857.4599609375
1734229373.5477438,860000,-4841.68017578125
1734229442.1813347,870000,-4831.490234375
1734229511.2755966,880000,-4848.68017578125
1734229581.484969,890000,-4851.9599609375
1734229648.921588,900000,-4871.66015625
1734229716.7815294,910000,-4890.080078125
1734229784.792751,920000,-4849.93017578125
1734229852.7840455,930000,-4774.68017578125
1734229922.2291477,940000,-4784.22021484375
1734229990.560285,950000,-4700.97021484375
1734230059.0056443,960000,-4676.4599609375
1734230126.5590978,970000,-4622.68017578125
1734230196.4964473,980000,-4594.919921875
1734230263.773469,990000,-4586.490234375
1734230330.2723637,1000000,-4599.0498046875
