Wall time,Step,Value
1734196084.6942215,10000,-14071.0
1734196184.2526064,20000,-21734.599609375
1734196275.6611161,30000,-19854.5
1734196371.4591053,40000,-19979.36328125
1734196462.9305673,50000,-20127.615234375
1734196549.7589664,60000,-18732.125
1734196639.6240225,70000,-17798.474609375
1734196726.5506086,80000,-16634.318359375
1734196818.1600056,90000,-16374.1201171875
1734196911.8509486,100000,-17228.07421875
1734197002.8912933,110000,-17147.966796875
1734197092.169009,120000,-17309.36328125
1734197180.6717916,130000,-18207.22265625
1734197269.0365078,140000,-18052.578125
1734197356.9391673,150000,-17472.267578125
1734197443.8193405,160000,-17139.7265625
1734197532.863865,170000,-16715.255859375
1734197621.157608,180000,-16425.279296875
1734197707.6596081,190000,-16165.0
1734197795.5829477,200000,-15806.2548828125
1734197883.0024753,210000,-15340.0341796875
1734197968.6503403,220000,-14875.3447265625
1734198056.6521704,230000,-14697.6826171875
1734198145.0182555,240000,-14911.2119140625
1734198233.525389,250000,-14751.275390625
1734198320.297829,260000,-15039.263671875
1734198405.3763957,270000,-14970.013671875
1734198491.7621508,280000,-14934.8310546875
1734198579.5007682,290000,-14628.650390625
1734198664.763367,300000,-14357.578125
1734198752.3394852,310000,-14441.9072265625
1734198837.1193392,320000,-14261.9775390625
1734198924.0726502,330000,-14101.8896484375
1734199012.933867,340000,-13912.8193359375
1734199099.246198,350000,-13738.701171875
1734199186.0199053,360000,-13594.740234375
1734199273.7044587,370000,-13540.08984375
1734199359.754095,380000,-12975.66015625
1734199447.4450817,390000,-12819.8701171875
1734199536.6924524,400000,-12445.1201171875
1734199621.401448,410000,-12119.91015625
1734199710.5417573,420000,-12024.2998046875
1734199798.5712292,430000,-11944.8203125
1734199887.7625825,440000,-11932.4296875
1734199974.2541323,450000,-11747.0595703125
1734200057.7046115,460000,-11380.349609375
1734200145.4613447,470000,-11261.8701171875
1734200231.3817732,480000,-10849.919921875
1734200321.265589,490000,-10459.8603515625
1734200408.9901454,500000,-10334.169921875
1734200496.7602162,510000,-10428.76953125
1734200582.34494,520000,-10219.6396484375
1734200671.042892,530000,-10172.2998046875
1734200762.0450335,540000,-10108.919921875
1734200850.5597174,550000,-10112.33984375
1734200945.035653,560000,-10279.9599609375
1734201032.1688437,570000,-10309.900390625
1734201121.0470853,580000,-10341.099609375
1734201211.3200357,590000,-10345.41015625
1734201299.0709198,600000,-10036.7099609375
1734201388.2162492,610000,-9958.3095703125
1734201475.763822,620000,-9541.009765625
1734201561.616947,630000,-9336.419921875
1734201648.8460264,640000,-9248.51953125
1734201735.3293805,650000,-9283.5498046875
1734201826.008339,660000,-9384.669921875
1734201915.7711327,670000,-9158.0400390625
1734202005.3095744,680000,-9184.58984375
1734202092.4732652,690000,-9223.2099609375
1734202184.854266,700000,-9369.330078125
1734202275.5612795,710000,-9487.4501953125
1734202370.7558339,720000,-9711.400390625
1734202462.2234733,730000,-9772.51953125
1734202550.1713457,740000,-9773.66015625
1734202637.2460544,750000,-9679.66015625
1734202723.8915234,760000,-9658.91015625
1734202809.0238292,770000,-9716.23046875
1734202894.9345818,780000,-9597.5
1734202982.6877174,790000,-9524.9296875
1734203070.3696835,800000,-9540.7998046875
1734203157.1357,810000,-9485.8603515625
1734203245.1628766,820000,-9479.6201171875
1734203330.5541928,830000,-9322.5595703125
1734203417.4799068,840000,-9352.51953125
1734203506.2723196,850000,-9156.8798828125
1734203592.4497457,860000,-9091.2998046875
1734203682.778083,870000,-8925.1396484375
1734203769.877356,880000,-8950.66015625
1734203856.9873412,890000,-8857.8798828125
1734203941.5023704,900000,-8770.8798828125
1734204031.3852496,910000,-8748.849609375
1734204120.7149384,920000,-8571.490234375
1734204205.2196047,930000,-8594.8798828125
1734204291.199347,940000,-8711.7900390625
1734204376.0064626,950000,-8633.490234375
1734204463.3896098,960000,-8610.5595703125
1734204549.0970943,970000,-8590.26953125
1734204636.3361194,980000,-8580.16015625
1734204723.838528,990000,-8603.58984375
1734204826.8882349,1000000,-8940.6201171875
