Wall time,Step,Value
1734211834.908397,10000,-15446.0
1734211892.726419,20000,-17741.599609375
1734211950.607987,30000,-16696.375
1734212006.48592,40000,-17128.36328125
1734212058.4915462,50000,-16139.5380859375
1734212110.1871932,60000,-14533.9375
1734212163.4563992,70000,-13536.4208984375
1734212215.3235772,80000,-13077.318359375
1734212269.683382,90000,-13536.3603515625
1734212322.161081,100000,-13055.2587890625
1734212375.843127,110000,-12831.2998046875
1734212427.540907,120000,-12195.3935546875
1734212480.72756,130000,-11944.5
1734212530.376344,140000,-11562.6318359375
1734212582.385186,150000,-11103.1953125
1734212635.430784,160000,-10757.75
1734212686.986423,170000,-10397.1494140625
1734212738.501558,180000,-10177.900390625
1734212789.7515981,190000,-10082.3271484375
1734212841.5099661,200000,-10021.52734375
1734212893.9682271,210000,-9885.896484375
1734212946.5200698,220000,-9705.3935546875
1734212997.886867,230000,-9606.3173828125
1734213051.272118,240000,-9831.0908203125
1734213104.426336,250000,-9665.869140625
1734213156.8325279,260000,-9523.27734375
1734213208.889916,270000,-9338.400390625
1734213260.904351,280000,-9296.662109375
1734213312.6609752,290000,-9194.125
1734213366.492685,300000,-9102.771484375
1734213418.846625,310000,-9028.8134765625
1734213469.647857,320000,-8974.0341796875
1734213522.435151,330000,-8857.8017578125
1734213576.9399931,340000,-8838.404296875
1734213631.352781,350000,-8785.6904296875
1734213684.863552,360000,-8909.169921875
1734213736.9229162,370000,-8862.3701171875
1734213788.653693,380000,-8475.0400390625
1734213840.1146922,390000,-8267.5595703125
1734213892.34348,400000,-7935.58984375
1734213943.606546,410000,-7913.22998046875
1734213996.7773309,420000,-7926.2099609375
1734214049.8665721,430000,-7925.240234375
1734214103.076906,440000,-7799.14990234375
1734214154.048033,450000,-7425.25
1734214206.2460768,460000,-7395.39990234375
1734214258.680803,470000,-7266.83984375
1734214311.814659,480000,-7323.83984375
1734214364.547489,490000,-7237.830078125
1734214415.779103,500000,-7263.830078125
1734214468.7024798,510000,-7359.580078125
1734214520.9728692,520000,-7434.990234375
1734214574.122066,530000,-7532.8798828125
1734214626.49232,540000,-7575.3798828125
1734214678.512386,550000,-7576.33984375
1734214729.644672,560000,-7434.240234375
1734214780.860897,570000,-7380.52001953125
1734214833.602769,580000,-7372.14013671875
1734214884.7310011,590000,-7361.0400390625
1734214936.9730308,600000,-7127.3798828125
1734214988.7295098,610000,-7125.81005859375
1734215040.749928,620000,-7100.64990234375
1734215092.04067,630000,-7119.72021484375
1734215143.824107,640000,-7086.81982421875
1734215197.93199,650000,-7145.5498046875
1734215252.061588,660000,-7267.669921875
1734215305.4061708,670000,-7270.64013671875
1734215357.9372969,680000,-7256.2001953125
1734215411.5705678,690000,-7299.0400390625
1734215465.007185,700000,-7282.08984375
1734215517.900019,710000,-7266.169921875
1734215570.9480178,720000,-7087.06005859375
1734215622.310543,730000,-6962.08984375
1734215674.926949,740000,-6966.83984375
1734215727.2019782,750000,-6868.58984375
1734215779.319073,760000,-6795.89013671875
1734215831.293012,770000,-6780.7998046875
1734215884.9796832,780000,-6810.02978515625
1734215937.494088,790000,-6799.0
1734215989.298095,800000,-6774.89013671875
1734216041.615246,810000,-6871.080078125
1734216092.179918,820000,-6898.75
1734216143.509402,830000,-6877.10986328125
1734216195.627241,840000,-6867.7001953125
1734216248.111118,850000,-6898.2099609375
1734216299.485405,860000,-6871.490234375
1734216351.110882,870000,-6828.3701171875
1734216403.453824,880000,-6736.72021484375
1734216455.312163,890000,-6640.0498046875
1734216507.319232,900000,-6552.08984375
1734216559.189582,910000,-6581.490234375
1734216609.978194,920000,-6597.7900390625
1734216660.76037,930000,-6579.77001953125
1734216713.479924,940000,-6673.0
1734216764.649555,950000,-6705.25
1734216815.646534,960000,-6678.919921875
1734216867.869659,970000,-6659.7099609375
1734216919.293799,980000,-6679.08984375
1734216971.257747,990000,-6704.64990234375
1734217022.4314759,1000000,-6694.97998046875
