desiredSpeed,friction,speed,waitingTime,emergencyBraking,collisions
13.88888888888889,1.0,12.53,0.7144475920679887,9,27
13.88888888888889,0.9212596965346536,12.6,0.7425183512140033,17,35
13.88888888888889,0.9254718967120892,12.46,0.7519774011299435,16,22
13.88888888888889,0.9652094921642512,12.56,0.7299942429476108,10,25
13.88888888888889,0.9742368676581992,12.42,0.8756218905472637,5,29
13.88888888888889,1.0,12.59,0.7150170648464164,17,34
13.88888888888889,0.9856102680335328,12.49,0.8027133973996609,12,32
13.88888888888889,1.0,12.57,0.5702576112412178,10,19
13.88888888888889,0.928941839081987,12.5,0.796045197740113,14,37
13.88888888888889,0.9286009696056938,12.6,0.6131968145620023,16,31
13.88888888888889,0.9992663289981903,12.47,0.9243093922651934,7,41
13.88888888888889,0.9145954573898032,12.5,0.7233676975945017,17,28
13.88888888888889,1.0,12.6,0.6533187054306089,7,36
13.88888888888889,0.86245504436502,12.36,0.9314121037463976,27,26
13.88888888888889,1.0,12.61,0.7177985948477752,7,28
13.88888888888889,1.0,12.47,0.9218313791178112,9,38
13.88888888888889,1.0,12.56,0.6802760207015526,8,27
13.88888888888889,0.8498732356891264,12.43,0.691079295154185,20,32
13.88888888888889,1.0,12.44,0.8554077501445922,11,23
13.88888888888889,0.9698406586170438,12.55,0.7887402452619844,10,44
13.88888888888889,1.0,12.48,0.9501146788990824,12,26
13.88888888888889,1.0,12.51,0.7927710843373494,11,23
13.88888888888889,1.0,12.61,0.7049083382613838,9,28
13.88888888888889,0.9519796874872852,12.56,0.6121629374641423,8,26
13.88888888888889,1.0,12.55,0.7145308924485125,10,25
13.88888888888889,0.9441117506770984,12.53,0.8048498845265589,16,31
13.88888888888889,0.910302750146158,12.41,0.8409218662169758,29,35
13.88888888888889,1.0,12.51,0.8186528497409327,7,21
13.88888888888889,0.8678603317069866,12.46,0.6361111111111111,20,25
13.88888888888889,1.0,12.37,1.0372960372960374,12,29
13.88888888888889,1.0,12.53,0.8025404157043879,8,30
13.88888888888889,1.0,12.51,0.8239636570130607,10,23
13.88888888888889,1.0,12.6,0.6613726602382303,6,30
13.88888888888889,1.0,12.51,0.7071946458449526,11,29
13.88888888888889,1.0,12.55,0.8129943502824859,12,36
13.88888888888889,1.0,12.5,0.8182336182336183,10,28
13.88888888888889,1.0,12.61,0.676088185415489,14,33
13.88888888888889,0.955457580685422,12.49,0.7576633892423366,17,26
13.88888888888889,0.8690692455859232,12.44,0.8036449147560258,15,22
13.88888888888889,0.97739042245772,12.39,1.0309162450815064,14,36
13.88888888888889,0.9248848054071348,12.57,0.5500595947556615,13,20
13.88888888888889,0.9066681946732534,12.49,0.7432506887052341,25,40
13.88888888888889,1.0,12.55,0.8430926662876634,15,41
13.88888888888889,1.0,12.38,0.8824521934758155,6,24
13.88888888888889,0.9780816789894354,12.32,1.0928338762214984,12,36
13.88888888888889,0.9619441903909702,12.57,0.6843304843304844,8,31
13.88888888888889,1.0,12.54,0.7947165657677491,7,31
13.88888888888889,1.0,12.61,0.7352773013150372,6,38
13.88888888888889,1.0,12.42,0.836343732895457,9,25
13.88888888888889,1.0,12.28,1.1886244921648288,13,27
13.88888888888889,1.0,12.46,0.8151308304891922,9,36
13.88888888888889,0.9459003953990284,12.71,0.6196606202457577,10,43
13.88888888888889,0.8839683458037046,12.36,0.7949295774647888,21,26
13.88888888888889,1.0,12.53,0.7161399548532731,9,30
13.88888888888889,1.0,12.51,0.7004002287021155,7,27
13.88888888888889,1.0,12.57,0.7105416423995341,11,29
13.88888888888889,1.0,12.47,0.8693181818181818,9,29
13.88888888888889,0.9424854655529114,12.5,0.8502252252252253,17,33
13.88888888888889,0.953041852141134,12.59,0.7186400937866354,16,36
13.88888888888889,0.953410315702897,12.43,0.8982173663024727,11,22
13.88888888888889,0.9723503266485372,12.41,0.8382022471910112,13,25
13.88888888888889,0.822096712730506,12.45,0.6140046296296297,20,27
13.88888888888889,1.0,12.42,0.9019718309859156,12,25
13.88888888888889,0.9766344787335212,12.52,0.9073114565342544,14,31
13.88888888888889,0.8567671820726697,12.49,0.7490084985835694,36,36
13.88888888888889,1.0,12.5,0.8741534988713319,8,24
13.88888888888889,1.0,12.5,0.7422145328719724,10,28
13.88888888888889,0.96693796509774,12.5,0.7390286717378584,9,24
13.88888888888889,1.0,12.23,1.1319910514541387,12,29
13.88888888888889,0.9456027901082862,12.58,0.7775852108607741,15,31
13.88888888888889,0.9297579537161476,12.44,0.7565934065934066,15,22
13.88888888888889,0.8464970793399704,12.68,0.4393305439330544,28,31
13.88888888888889,1.0,12.34,0.8930921052631579,10,26
13.88888888888889,1.0,12.55,0.7397179788484136,9,27
13.88888888888889,1.0,12.68,0.5317820658342792,5,37
13.88888888888889,1.0,12.6,0.6041666666666666,12,26
13.88888888888889,1.0,12.54,0.8003452243958573,9,28
13.88888888888889,1.0,12.54,0.6275780789628757,14,17
13.88888888888889,0.9008987891231304,12.67,0.557395773843518,13,43
13.88888888888889,1.0,12.49,0.9310734463276836,9,30
13.88888888888889,0.9432288944814532,12.49,0.822690992018244,11,30
13.88888888888889,1.0,12.49,0.8621468926553673,12,29
13.88888888888889,1.0,12.5,0.7296690970274817,13,28
13.88888888888889,0.959963255041983,12.52,0.7003869541182974,9,35
13.88888888888889,1.0,12.41,0.8968957871396895,11,38
13.88888888888889,0.9493550671910144,12.46,0.7901734104046243,12,29
13.88888888888889,0.9935490518586592,12.58,0.6688851913477537,12,31
13.88888888888889,0.8495992877685807,12.31,0.8595505617977528,20,26
